Standing screen display size,Screen Resolution,Max Screen Resolution,Brand,Item model number,Item Weight,Unit,Item Weight in Kg,Length(In),Width(In),Height(In),Item Dimensions  LxWxH,Color,Manufacturer,ASIN,Country of Origin,Date First Available,Price,Series,Is Discontinued By Manufacturer,Voltage,RAM,Processor Count,Computer Memory Type,Department,Customer Reviews,Power Source,Package Dimensions,Best Sellers Rank,Assembled Height,Assembled Length,Assembled Width,Style,Material,Number of Lights,Special Features,Shade Material,Switch Style,Switch Installation Type,Batteries Included?,Batteries Required?,Type of Bulb,Luminous Flux,Wattage,Processor,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Graphics Card Ram Size,Wireless Type,Hardware Platform,Operating System,Rear Webcam Resolution,Processor Brand,Flash Memory Size,Hard Drive Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Batteries,Material Type,Size,Manufacturer Part Number,Average Battery Life (in hours),Language,Number of Items,Other display features,Colour,Card Description,Hard Drive Rotational Speed,National Stock Number,Ink Color,Brand Name,Color Name,Device interface - primary,Included Components,Total Recycled Content Percentage,Post-Consumer Recycled Content Percentage,Part Number,Item Package Quantity,Battery Cell Type,Display Type,Warranty,Optical Drive Type,Scanner Resolution,Connectivity technologies,Domestic Shipping,International Shipping,Display Style,Usage,Warranty Description
,,,,,1.54,pounds,0.693,172.44,50.79,16.14,,,iClever,B07VPMTWMC,,,$32.99 ,,,,,,,,19-Sep-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1CAT6E-BLUE-24PK,11.5,ounces,0.23,2,6.5,7.5,,,,B00XIFMQ2Y,,China,$31.99 ,,GoDirectInc.com,,,,,,No,,,11-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.65,pounds,0.7425,,,,,,ORIGINAL,B08MTJLD6L,,,$165.00 ,,5-Jan-18,,,,,,,,13 x 9.8 x 2.5 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.4,ounces,0.268,,,,,,Waveshare,B095N6SGP8,,,$95.99 ,,,,,,,,,,11.14 x 4.13 x 2.01 inches,23-May-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sonnet,TB3-DHDMI,4.2,ounces,0.084,3.94,2.56,0.79,3.94 x 2.56 x 0.79 inches,Silver,SONNET TECHNOLOGIES,B07141QFRG,,1-Sep-17,$99.99 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.4,ounces,0.128,14.75,10.25,0.4,,,ZB-MPS,B07SSX82F9,,,$54.99 ,,,,,,,,10-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10.7,ounces,0.214,,,,,,ORIGINAL,B08GPQ4CNQ,,,$150.00 ,,5-Jan-18,,,,,,,,7.8 x 5.5 x 1.6 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.05,pounds,0.4725,,,,,,,B093S1NPQK,,VSDISPLAY,$56.99 ,,,,,,,,,,14.06 x 8.35 x 1.77 inches,29-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8541634868,4.8,ounces,0.096,,,,,,LCDBOARD,B06XHYDYKJ,,,$22.99 ,,,,,,,,No,,5.75 x 4 x 1 inches,10-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,pounds,0.45,,,,,,EBESTPANEL,B07KP8T4CX,,,$279.00 ,,22-May-18,,,,,,,,12.95 x 9.33 x 2.48 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10.1inch HDMI LCD (B) (with case),1.76,pounds,0.792,7.09,3.94,3.54,,,Waveshare,B01H013FGC,,,$151.99 ,,,,,,,,No,,,14-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,ounces,0.14,17.7,20.3,13.8,,,The Perfect Dust Cover LLC,B08WTZ924D,,,$25.99 ,,,,,,,,7-Oct-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,$25.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.6,ounces,0.272,,,,,,VSDISPLAY,B07SPY2JFS,,,$67.99 ,,,,,,,,,,11.5 x 7.4 x 1.7 inches,5-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.6,ounces,0.272,,,,,,VSDISPLAY,B07SPY2JFS,,,$67.99 ,,,,,,,,,,11.5 x 7.4 x 1.7 inches,5-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,ounces,0.3,,,,,,,B093NZRMKS,,VSDISPLAY,$69.88 ,,,,,,,,,,14.02 x 8.43 x 1.77 inches,28-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.352,ounces,0.00704,,,,,,Waveshare,B08XJTFMY3,,,$108.99 ,,,,,,,,,,7.2 x 5.35 x 1.73 inches,25-Feb-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,,1920 x 1080,BenQ,GW2485TC,13.64,pounds,6.138,,,,,Dark Grey,BenQ,B09G94T3DP,China,1-Oct-21,$249.99 ,,,,,,,,,,24.13 x 20.15 x 6.89 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8.7,ounces,0.174,,,,,,EBESTPANEL,B07KPTH7T7,,,$188.00 ,,22-May-18,,,,,,,,8.07 x 5.59 x 1.69 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AP140W9B,4.8,ounces,0.096,12.2,0.03,6.85,,,Akamai Office Products,B06XNZ4N5L,,,$26.99 ,,,,,,,,No,,,24-Oct-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.37,pounds,0.6165,,,,,,ORIGINAL,B081JXTVZW,,,$245.00 ,,,,,,,,No,,12.95 x 9.21 x 2.44 inches,5-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.6 Centimeters,,,V7,PS27.0W9A2-2N,1,pounds,0.45,16,10,1,16 x 10 x 1 inches,,Ingram line V7,B078YDG157,China,2-Feb-18,$82.08 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Generic,9.9,ounces,0.198,,,,,,Generic,B07DN4KJ9J,,,$90.06 ,,,,,,,,11-Jun-18,,17.5 x 11.9 x 1.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14.4,ounces,0.288,,,,,,DIGISHUO,B08MWFRM3C,,,$55.99 ,,,,,,,,6-Nov-20,,8.98 x 8.58 x 2.28 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Inches,,,DFROBOT,DFR0506,8.8,ounces,0.176,,,,,,DFRobot,B07MT3PK1G,,11-Jan-19,$74.00 ,,No,5 Volts,,,,,,,8.8 x 5.4 x 1.8 inches,,,,,,,,,,,,,,,,,,,,,,,,,"Linux, Mac os",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,ViewSonic,SC-ADPT-025,4.8,ounces,0.096,6.7,6.7,2.3,6.7 x 6.7 x 2.3 inches,,Viewsonic Corporation,B07CXXHRP9,China,9-Jul-18,$59.99 ,SC-ADPT-025,No,,1 A8,,,,,,,,,,,,,,,,,,,,,,,1 cortex,1 GHz,1 Flash Memory Solid State,,,1,,,,,AMD,1,ATA-4,1,1,,,,,,,,,,Dedicated,1,,,,,,,,,,,,,,BD-R,,,,,,,
,,,,6.98395E+12,8,ounces,0.16,15.75,0.36,1,,,Generic,B003TPAR24,,,$78.25 ,,,,,,,,No,,,9-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.2,ounces,0.224,,,,,,Generic,B07C5N7YFL,,,$60.00 ,,,,,,,,13-Apr-18,,17.75 x 12 x 1.6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.8,ounces,0.096,,,,,,VSDISPLAY,B01MRZ04PV,,,$26.68 ,,,,,,,,No,,5.7 x 4.1 x 1.1 inches,19-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.3 Inches,,,Kensington,K55699WW,4,ounces,0.08,,,,,,Kensington,B07WXH9ZNP,"Korea, Republic of",23-Aug-19,$46.90 ,,,,,,,,,,13.2 x 8.9 x 0.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Generic,11.2,ounces,0.224,,,,,,Generic,B07DGXWWS7,,,$90.00 ,,,,,,,,2-Jun-18,,17.7 x 11.8 x 1.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8.5,ounces,0.17,,,,,,ORIGINAL,B07DKYTHPV,,,$180.00 ,,,,,,,,No,,7.99 x 5.51 x 1.65 inches,5-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Kyocera,KE04700,1.41,pounds,0.6345,23.42,3.74,3.74,23.42 x 3.74 x 3.74 inches,Magenta,Kyocera Document Solutions Corporation,B077Z466W3,,17-Aug-18,$115.90 ,Kyocera,No,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.493,ounces,0.00986,,,,,,Mosiso,B093WFT5GY,,,$26.99 ,,,,,,,,,,16 x 12 x 0.02 inches,30-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A109005J947T,11.2,ounces,0.224,14.19,0.32,1,,,Generic,B00JMM89NC,,,$90.00 ,,,,,,,,No,,,11-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ILI9341,2.08,ounces,0.0416,,,,,,OCESTORE,B09574L9JJ,,,$23.99 ,,,,,,,,,,5.35 x 3.46 x 1.14 inches,18-May-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.67,pounds,0.7515,,,,,,EBESTPANEL,B07W63K4YM,,,$160.00 ,,1-Aug-18,,,,,,,,13.11 x 9.49 x 2.48 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.6 Inches,,,AU Optronics,LED-1366-768-G-40-15.6-1,8,ounces,0.16,17.5,10.5,0.1,17.5 x 10.5 x 0.1 inches,,AU Optronics,B003TP2PU6,,13-Apr-11,$64.28 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.06,pounds,0.927,,,,,,EBESTPANEL,B07R4LWF9S,,,$155.00 ,,22-May-18,,,,,,,,12.95 x 9.41 x 2.68 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AP-POE-1000M2,7,ounces,0.14,3.54,1.18,0.91,,,AuviPal,B01N5AMCLT,China,,$25.99 ,,,,,,,,No,,,1-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.08,ounces,0.0416,,,,,,VSDISPLAY,B07Q7N8WFN,,,$23.99 ,,,,,,,,No,,5.91 x 3.94 x 1.18 inches,16-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.6,ounces,0.092,13.4,18.2,9.2,,,The Perfect Dust Cover LLC,B0815SRJ6K,,,$22.99 ,,,,,,,,7-Oct-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TM070RVHG01-01,6.4,ounces,0.128,,,,,,EBESTPANEL,B08VWHGHP1,,,$99.60 ,,1-Aug-18,,,,,,,,7.8 x 5.7 x 1.5 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.7inch E-Ink display HAT,2.39,ounces,0.0478,,,,,,Waveshare,B07PKSZ3XK,,,$21.25 ,,,,,,,,4-Mar-19,,4.1 x 3.1 x 1.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.82,ounces,0.0564,,,,,,Bicool,B09884CBMV,,,$24.69 ,,,,,,,,,,4.72 x 2.36 x 1.18 inches,29-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.4,ounces,0.128,23.1,25,8.4,,,The Perfect Dust Cover LLC,B092PNGD55,,,$29.99 ,,,,,,,,7-Oct-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LS-E791P,0.32,ounces,0.0064,2.95,1.38,0.2,,,Deal4Go,B07SVVHXQJ,China,,$12.50 ,,,,,,,,9-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.5inch RPi LCD (B),2.11,ounces,0.0422,,,,,,TOP1,B092R8RYG4,China,,$29.99 ,,16-Apr-21,,,,,,,,4.17 x 3.15 x 1.1 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.704,ounces,0.01408,,,,,,Bicool,B08HQWL4C6,China,,$20.50 ,,,,,,,,9-Sep-20,,2.76 x 1.97 x 0.87 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5inch HDMI LCD (H) V4 Screen,9.5,ounces,0.19,,,,,,Waveshare,B097Y7C22K,,,$61.99 ,,,,,,,,25-Jun-21,,5.5 x 4 x 1.6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.2,ounces,0.084,18.8,18.8,18.4,,,The Perfect Dust Cover LLC,B099KSV4YQ,,,$26.99 ,,,,,,,,,,,1-Dec-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.92871E+12,8,ounces,0.16,12,0.28,1,,,Toshiba,B004PAPLXM,,,$57.34 ,,,,,,,,8-Jun-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3 Inches,,1600 x 900,,LED-1600-900-G-40-17.3,8,ounces,0.16,17.5,10.5,1.5,17.5 x 10.5 x 1.5 inches,,Generic,B004H2QRR2,,9-Apr-11,$78.21 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.81,pounds,0.8145,,,,,,ORIGINAL,B07DLLV7XH,,,$158.00 ,,5-Jan-18,,,,,,,,12.87 x 9.29 x 2.48 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7inch (C),11.4,ounces,0.228,,,,,,Waveshare,B01HPV7KL8,,,$63.99 ,,,,,,,,No,,8.3 x 5.9 x 2.1 inches,15-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3 Inches,,,LG,LED-1600-900-G-40-17.3-83,8,ounces,0.16,17.5,10.5,1.5,17.5 x 10.5 x 1.5 inches,,LG PHILIPS,B004PAVHBC,,9-Apr-11,$93.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8.8,ounces,0.176,,,,,,Generic,B07D99TGD9,,,$48.02 ,,,,,,,,No,,17.7 x 11.9 x 1.6 inches,24-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.4,ounces,0.228,,,,,,EBESTPANEL,B07KPZ9L7J,,,$145.00 ,,22-May-18,,,,,,,,8.11 x 5.63 x 1.61 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.8,ounces,0.236,,,,,,Generic,B07GJ7S8M3,,,$90.00 ,,,,,,,,No,,13.03 x 8.78 x 1.1 inches,26-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SOUNDANCE,LS1,2.2,pounds,0.99,10.24,8.86,5.71,,A- silver,Soundance,B07D74DT3B,,,$26.99 ,,No,,,,,,22-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminum,For 10 to 15.6 Inches Laptop,LS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plugable,UD-3900H,11.4,ounces,0.228,3.25,9.5,1,3.25 x 9.5 x 1 inches,,Plugable,B07BFJSYFM,,13-Mar-18,$99.00 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3 Inches,,,HP,1.49627E+12,8,ounces,0.16,15.75,0.36,1,15.75 x 0.36 x 1 inches,,hp,B0149KTCUU,,30-May-12,$80.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Inches,,1024 x 768,Kensington,K52900WW,7.1,ounces,0.142,0.1,10.25,15.13,0.1 x 10.25 x 15.13 inches,Black,Kensington,B07FK5BPWZ,,12-Jul-18,$59.00 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1 A batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.65inch e-ink Module (F),3.17,ounces,0.0634,,,,,,Waveshare,B08J7GGRYF,China,,$69.99 ,,,,,,,,16-Sep-20,,8.39 x 6.57 x 1.65 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.52,ounces,0.0704,13.4,18.2,9.2,,,The Perfect Dust Cover LLC,B08FYRFDXP,,,$22.99 ,,,,,,,,7-Oct-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,$125.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.7,ounces,0.234,,,,,,EBESTPANEL,B07KPZKJZP,,,$119.00 ,,22-May-18,,,,,,,,8.07 x 5.67 x 1.57 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UG32,22.1,pounds,9.945,,,,,,Z Z-Edge,B08H5L51ZG,,,$289.99 ,,,,,,,,1-Sep-20,,30.9 x 20.2 x 6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920x1080 Pixels,Sceptre,E275B-FWD240,10.44,pounds,4.698,24.13,21.14,9.27,24.13 x 21.14 x 9.27 inches,Black,Sceptre,B0911MSYGW,China,24-Mar-21,$298.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9.9,ounces,0.198,,,,,,Generic,B07D4HDYKC,,,$88.79 ,,,,,,,,,,17.5 x 12 x 1.75 inches,17-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,ounces,0.1,,,,,,,B096FQBRBM,,VSDISPLAY,$26.99 ,,,,,,,,,,5.75 x 3.98 x 1.06 inches,2-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12.3,ounces,0.246,,,,,,VSDISPLAY,B07V7GGWMM,,,$78.99 ,,,,,,,,15-Jul-19,,13.39 x 7.72 x 1.65 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.58,ounces,0.0316,,,,,,VSDISPLAY,B07T2SV1CT,,,$9.90 ,,,,,,,,15-Jun-19,,5 x 4.2 x 0.9 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8.8,ounces,0.176,,,,,,VSDISPLAY,B01NBM4CRQ,,,$25.99 ,,,,,,,,No,,5.91 x 3.94 x 1.18 inches,19-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.69,pounds,1.6605,,,,,,LANDZO,B08T5SZYQN,,,$188.99 ,,,,,,,,15-Jan-21,,17.28 x 11.1 x 3.19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IX156UC 4K,4.12,pounds,1.854,14.29,8.78,0.24,,,"Cinotop Electronics Co., Ltd",B08XQSSZHM,China,,$299.00 ,,1-Mar-21,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plugable,UD-3900,0.32,ounces,0.0064,6.45,3.22,4.02,6.45 x 3.22 x 4.02 inches,Black,Plugable Technologies,B00ECDM78E,,15-Aug-13,$99.00 ,,No,,,,,,,DC,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WALI,RDTT03,2,pounds,0.9,,,,,Black,WALI,B094QTGHNZ,,18-Aug-20,$11.99 ,Monitor Stand Riser Height Adjustable,,,,,,,,,15.39 x 9.88 x 1.26 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.2,ounces,0.084,8.5,6.2,4.7,,,,B0844P7C6T,,,$129.99 ,,,,,,,,23-Jan-20,,,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.5,pounds,0.675,,,,,,,B07TFTBN8D,,,$90.00 ,,No,,,,,,,,12.5 x 9 x 2.3 inches,5-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Inches,,,ELO,E266835,15.43,pounds,6.9435,16.89,8.15,14.92,16.89 x 8.15 x 14.92 inches,,Elo Touch Solutions,B004UIN5K0,,1-Aug-15,$733.27 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,ounces,0.12,14.21,17.52,5.2,,,The Perfect Dust Cover LLC,B08RWC5VHM,,,$19.99 ,,,,,,,,1-Jan-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PWR+,PWR-TAM1950923,1.96,pounds,0.882,,,,,,PWR+,B00GDGXSVI,,28-Sep-10,$54.90 ,,No,19.5 Volts,,,,,,Corded Electric,9.65 x 6.5 x 2.6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,ounces,0.12,,,,,,VSDISPLAY,B08GQQDNYX,,,$45.00 ,,,,,,,,27-Aug-20,,7.09 x 4.72 x 3.94 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Inches,3840 x 2160,3840 x 2160 Pixels,Lenovo,65FAGCC2US,11.45,pounds,5.1525,8.66,25.08,17.72,8.66 x 25.08 x 17.72 inches,Black,Lenovo,B085R9Q1K6,China,23-Oct-19,$336.92 ,L28u-30,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5inch HDMI LCD (B),7,ounces,0.14,,,,,,TOP1,B092R7XXJC,China,,$42.99 ,,16-Apr-21,,,,,,,,6.26 x 4.25 x 1.85 inches,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
